model,feature,participant,accuracy,precision,recall,f1
RF,combined,22,0.6652649285113541,0.5930470347648262,1.0,0.7445442875481386
RF,combined,23,0.603448275862069,0.5021645021645021,1.0,0.6685878962536023
RF,combined,24,0.47745358090185674,0.2690166975881262,1.0,0.4239766081871345
RF,combined,25,0.5477011494252874,0.39877769289533993,1.0,0.570180229382851
RF,combined,26,0.5018472906403941,0.33415637860082303,1.0,0.5009253547193091
RF,combined,27,0.6587091069849691,0.575977653631285,0.9875478927203065,0.7275935074100212
RF,combined,28,0.6650862068965517,0.5903279599777654,0.9637023593466425,0.7321613236814891
RF,combined,29,0.6610597140454163,0.5930599369085173,0.9724137931034482,0.736773350751143
RF,combined,30,0.6663793103448276,0.5879828326180258,0.9945553539019963,0.7390424814565071
RF,combined,31,0.6661059714045416,0.59375,0.9991379310344828,0.7448586118251928
RF,combined,32,0.6616379310344828,0.58544474393531,0.985480943738657,0.7345282380791343
RF,combined,33,0.5841170323928945,0.46626180836707154,0.992816091954023,0.6345270890725436
RF,combined,34,0.6374773139745916,0.5537665324899368,0.9766734279918864,0.706788990825688
RF,combined,35,0.6677880571909167,0.5995694294940797,0.9603448275862069,0.7382372432074221
RF,combined,36,0.659051724137931,0.5824059353471118,0.9972776769509982,0.7353629976580797
RF,combined,37,0.6607758620689655,0.584631918323482,0.9872958257713249,0.7343908201147485
RF,combined,38,0.6424682395644283,0.5558690744920993,0.9989858012170385,0.7142857142857143
RF,combined,39,0.6202107279693486,0.5231509320505111,1.0,0.6869324911172523
RF,combined,40,0.6379310344827587,0.5528089887640449,0.9979716024340771,0.7114967462039046
RF,combined,41,0.6525198938992043,0.5706462212486308,0.9980842911877394,0.7261324041811846
SVM,combined,22,0.9062237174095878,0.8387563268257412,1.0,0.9123082972866693
SVM,combined,23,0.8911330049261084,0.7860600193610843,1.0,0.8802168021680217
SVM,combined,24,0.8494694960212201,0.5609284332688588,1.0,0.7187112763320942
SVM,combined,25,0.8701149425287357,0.6978609625668449,1.0,0.8220472440944881
SVM,combined,26,0.8596059113300493,0.6403785488958991,1.0,0.7807692307692308
SVM,combined,27,0.7904509283819628,0.7855711422845691,0.7509578544061303,0.7678746327130265
SVM,combined,28,0.8245689655172413,0.8067078552515445,0.8294010889292196,0.8178970917225951
SVM,combined,29,0.763246425567704,0.7895247332686712,0.7017241379310345,0.7430397078959379
SVM,combined,30,0.8547413793103448,0.8206202849958089,0.8883847549909256,0.8531590413943355
SVM,combined,31,0.892767031118587,0.8315018315018315,0.978448275862069,0.899009900990099
SVM,combined,32,0.8685344827586207,0.8237205523964257,0.9201451905626135,0.8692670381483069
SVM,combined,33,0.8605015673981191,0.7468354430379747,0.9324712643678161,0.8293929712460064
SVM,combined,34,0.7872050816696915,0.7741251325556734,0.7403651115618661,0.7568688439606014
SVM,combined,35,0.8578637510513036,0.8288,0.8931034482758621,0.8597510373443984
SVM,combined,36,0.8060344827586207,0.7936936936936937,0.7994555353901996,0.7965641952983725
SVM,combined,37,0.7762931034482758,0.7849462365591398,0.7286751361161524,0.7557647058823529
SVM,combined,38,0.8734119782214156,0.8013640238704177,0.9533468559837728,0.8707735062528948
SVM,combined,39,0.7514367816091954,0.7218710493046776,0.6563218390804598,0.687537627934979
SVM,combined,40,0.8153357531760436,0.7857847976307996,0.8073022312373225,0.7963981990995498
SVM,combined,41,0.8872679045092838,0.8184019370460048,0.9712643678160919,0.8883048620236531
kNN,combined,22,0.6837678721614803,0.606694560669456,1.0,0.7552083333333334
kNN,combined,23,0.6280788177339901,0.5181876196553925,1.0,0.6826397646069777
kNN,combined,24,0.4946949602122016,0.27566539923954375,1.0,0.43219076005961254
kNN,combined,25,0.5632183908045977,0.40717628705148207,1.0,0.5787139689578714
kNN,combined,26,0.5301724137931034,0.3473053892215569,1.0,0.5155555555555555
kNN,combined,27,0.6436781609195402,0.5687861271676301,0.9425287356321839,0.7094448449891853
kNN,combined,28,0.6478448275862069,0.5800112296462662,0.9373865698729582,0.7166146375303504
kNN,combined,29,0.6194280908326325,0.572319909245604,0.8698275862068966,0.6903865891207663
kNN,combined,30,0.6655172413793103,0.5893640350877193,0.9754990925589837,0.7347915242652084
kNN,combined,31,0.6728343145500421,0.6004206098843323,0.9844827586206897,0.7459177008491182
kNN,combined,32,0.6543103448275862,0.5828729281767956,0.957350272232305,0.7245879120879121
kNN,combined,33,0.5966562173458725,0.47375690607734805,0.985632183908046,0.6399253731343284
kNN,combined,34,0.6152450090744102,0.5424876847290641,0.8935091277890467,0.675095785440613
kNN,combined,35,0.6770395290159799,0.6082872928176796,0.9491379310344827,0.7414141414141414
kNN,combined,36,0.6551724137931034,0.5833333333333334,0.9591651542649727,0.7254632807137955
kNN,combined,37,0.6310344827586207,0.5720140515222483,0.8865698729582577,0.695373665480427
kNN,combined,38,0.6519963702359347,0.562894887995405,0.9939148073022313,0.7187385405207187
kNN,combined,39,0.6192528735632183,0.5236294896030246,0.9551724137931035,0.6764346764346765
kNN,combined,40,0.6451905626134301,0.559371362048894,0.9746450304259635,0.7107988165680473
kNN,combined,41,0.6578249336870027,0.575503355704698,0.985632183908046,0.7266949152542372
CNN,STFT,22,0.4878048780487805,0.4878048780487805,1.0,0.6557377049180327
CNN,STFT,23,0.4,0.4,1.0,0.5714285714285714
CNN,STFT,24,0.19230769230769232,0.19230769230769232,1.0,0.3225806451612903
CNN,STFT,25,0.3,0.3,1.0,0.46153846153846156
CNN,STFT,26,0.25,0.25,1.0,0.4
CNN,STFT,27,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421
CNN,STFT,28,0.475,0.475,1.0,0.6440677966101694
CNN,STFT,29,0.4878048780487805,0.4878048780487805,1.0,0.6557377049180327
CNN,STFT,30,0.475,0.475,1.0,0.6440677966101694
CNN,STFT,31,0.4878048780487805,0.4878048780487805,1.0,0.6557377049180327
CNN,STFT,32,0.475,0.475,1.0,0.6440677966101694
CNN,STFT,33,0.36363636363636365,0.36363636363636365,1.0,0.5333333333333333
CNN,STFT,34,0.4473684210526316,0.4473684210526316,1.0,0.6181818181818182
CNN,STFT,35,0.4878048780487805,0.4878048780487805,1.0,0.6557377049180327
CNN,STFT,36,0.475,0.475,1.0,0.6440677966101694
CNN,STFT,37,0.475,0.475,1.0,0.6440677966101694
CNN,STFT,38,0.4473684210526316,0.4473684210526316,1.0,0.6181818181818182
CNN,STFT,39,0.4166666666666667,0.4166666666666667,1.0,0.5882352941176471
CNN,STFT,40,0.4473684210526316,0.4473684210526316,1.0,0.6181818181818182
CNN,STFT,41,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421
CNN,MFCC,22,0.4878048780487805,0.4878048780487805,1.0,0.6557377049180327
CNN,MFCC,23,0.4,0.4,1.0,0.5714285714285714
CNN,MFCC,24,0.19230769230769232,0.19230769230769232,1.0,0.3225806451612903
CNN,MFCC,25,0.3,0.3,1.0,0.46153846153846156
CNN,MFCC,26,0.25,0.25,1.0,0.4
CNN,MFCC,27,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421
CNN,MFCC,28,0.475,0.475,1.0,0.6440677966101694
CNN,MFCC,29,0.4878048780487805,0.4878048780487805,1.0,0.6557377049180327
CNN,MFCC,30,0.475,0.475,1.0,0.6440677966101694
CNN,MFCC,31,0.4878048780487805,0.4878048780487805,1.0,0.6557377049180327
CNN,MFCC,32,0.475,0.475,1.0,0.6440677966101694
CNN,MFCC,33,0.36363636363636365,0.36363636363636365,1.0,0.5333333333333333
CNN,MFCC,34,0.4473684210526316,0.4473684210526316,1.0,0.6181818181818182
CNN,MFCC,35,0.4878048780487805,0.4878048780487805,1.0,0.6557377049180327
CNN,MFCC,36,0.475,0.475,1.0,0.6440677966101694
CNN,MFCC,37,0.475,0.475,1.0,0.6440677966101694
CNN,MFCC,38,0.4473684210526316,0.4473684210526316,1.0,0.6181818181818182
CNN,MFCC,39,0.4166666666666667,0.4166666666666667,1.0,0.5882352941176471
CNN,MFCC,40,0.4473684210526316,0.4473684210526316,1.0,0.6181818181818182
CNN,MFCC,41,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421
